latitude,longitude,FID,OBJECTID,LABEL,NOTES,TYPE,ELEVATION,DEPTH,PROXIMITY,TEMPERATUR,WAYPOINT,COMMENT,LONGITUDE,LATITUDE,URL
-87.57056240,33.19650780,160,167,Saint Marks African Methodist Episcopal Church, ,Church,190.290000,0.000000,0.000000,0.000000, , ,-87.570560,33.196510, 
-87.48528220,33.19678530,161,168,Apostolic Gospel Church, ,Church,396.980000,0.000000,0.000000,0.000000, , ,-87.485280,33.196790, 
-87.56972900,33.19678560,162,169,First Community Methodist Church, ,Church,187.010000,0.000000,0.000000,0.000000, , ,-87.569730,33.196790, 
-87.52917230,33.19706310,163,170,Druid City Baptist Church, ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.529170,33.197060, 
-87.55250630,33.19734100,164,171,Church of God, ,Church,213.250000,0.000000,0.000000,0.000000, , ,-87.552510,33.197340, 
-87.56167330,33.19761880,165,172,Southside Baptist Church (historical), ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.561670,33.197620, 
-87.58139600,33.19761890,166,173,Mission House of Prayer, ,Church,183.730000,0.000000,0.000000,0.000000, , ,-87.581400,33.197620, 
-87.48556000,33.19817420,167,174,Bible Methodist Church, ,Church,413.390000,0.000000,0.000000,0.000000, , ,-87.485560,33.198170, 
-87.57250690,33.19817440,168,175,Knox Temple, ,Church,190.290000,0.000000,0.000000,0.000000, , ,-87.572510,33.198170, 
-87.58139600,33.19845220,169,176,Solid Rock Spiritual Church, ,Church,187.010000,0.000000,0.000000,0.000000, , ,-87.581400,33.198450, 
-87.48417110,33.19900740,170,177,Woodhaven Church of the Nazarene, ,Church,423.230000,0.000000,0.000000,0.000000, , ,-87.484170,33.199010, 
-87.58334050,33.19956320,171,178,Williamson Prayer Chapel, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.583340,33.199560, 
-87.48500440,33.19984070,172,179,Druid Hills United Methodist Church, ,Church,426.510000,0.000000,0.000000,0.000000, , ,-87.485000,33.199840, 
-87.58250720,33.20039660,173,180,Brown Memorial Presbyterian Church, ,Church,223.100000,0.000000,0.000000,0.000000, , ,-87.582510,33.200400, 
-87.58167380,33.20039660,174,181,Saint Paul Baptist Church, ,Church,213.250000,0.000000,0.000000,0.000000, , ,-87.581670,33.200400, 
-87.52917230,33.20095200,175,182,African Methodist Episcopal Zion Tabernacle, ,Church,226.380000,0.000000,0.000000,0.000000, , ,-87.529170,33.200950, 
-87.57722920,33.20234100,177,184,Thompson Chapel, ,Church,190.290000,0.000000,0.000000,0.000000, , ,-87.577230,33.202340, 
-87.58139600,33.20261880,178,185,West End Presbyterian Church (historical), ,Church,216.540000,0.000000,0.000000,0.000000, , ,-87.581400,33.202620, 
-87.50444930,33.20289630,180,187,Alberta Church of Christ (historical), ,Church,295.280000,0.000000,0.000000,0.000000, , ,-87.504450,33.202900, 
-87.48694890,33.20372950,181,188,Hopewell Baptist Church, ,Church,419.950000,0.000000,0.000000,0.000000, , ,-87.486950,33.203730, 
-87.51056070,33.20372960,182,189,Alberta United Methodist Church, ,Church,311.680000,0.000000,0.000000,0.000000, , ,-87.510560,33.203730, 
-87.56417330,33.20400760,183,190,Bethel Spiritual Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.564170,33.204010, 
-87.56333990,33.20400760,184,191,Bailey Christian Methodist Episcopal Temple, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.563340,33.204010, 
-87.58139600,33.20428540,185,192,West End Baptist Church, ,Church,216.540000,0.000000,0.000000,0.000000, , ,-87.581400,33.204290, 
-87.55528420,33.20456300,186,193,Richards Memorial Catholic Church, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.555280,33.204560, 
-87.57056240,33.20456310,187,194,First African Baptist Church, ,Church,216.540000,0.000000,0.000000,0.000000, , ,-87.570560,33.204560, 
-87.56278440,33.20456310,188,195,Hunters African Methodist Episcopal Zion Chapel, ,Church,219.820000,0.000000,0.000000,0.000000, , ,-87.562780,33.204560, 
